research_question;seed_url;final_seed_url;seed_http_status;seed_content_type;source_page_title;target_url;anchor_text;same_domain;dom_container;section_heading;surrounding_text;status;class;rule;reason;error
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;Skip to navigation;True;body;;Skip to: Skip to navigation Skip to content Skip to footer;CLASSIFIED;UNKNOWN;P-6;group undefined (undefined) x topic_match none;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;Skip to content;True;body;;Skip to: Skip to navigation Skip to content Skip to footer;CLASSIFIED;UNKNOWN;P-6;group undefined (undefined) x topic_match none;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;Skip to footer;True;body;;Skip to: Skip to navigation Skip to content Skip to footer;CLASSIFIED;UNKNOWN;P-6;group undefined (undefined) x topic_match none;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/home/html/index.en.html;;True;header;;;CLASSIFIED;UNKNOWN;P-4;generic anchor '' and no group in heading, surrounding text or url;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.bg.html;Български;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.cs.html;Čeština;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.da.html;Dansk;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.de.html;Deutsch;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.el.html;Eλληνικά;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;English;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.es.html;Español;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
What is the current CCyB rate and how is it set?;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;https://www.esrb.europa.eu/national_policy/capital/html/index.en.html;200;"text/html; charset=UTF-8";Capital conservation buffer;https://www.esrb.europa.eu/national_policy/capital/html/index.et.html;Eesti keel;True;header;;Български Čeština Dansk Deutsch Eλληνικά English Español Eesti keel Suomi Français Gaeilge Hrvatski Magyar Italiano Lietuvių Latviešu Malti Nederlands Polski Português Română Slovenčina Slovenščina Svenska;CLASSIFIED;NAVIGATION;P-3;group 'None' inside <header> without direct topic match;
